objectid,format,filename,title,description,latitude,longitude,source,identifier,type,language,rights,rightsstatement,youtubeid,vimeoid,creator,date,subject,location
coll001,image/jpeg,image001.jpg,Via Palestro,17,45.1382103,10.02141094,,,,,,,,,,,,
coll002,image/jpeg,image002.jpg,Piazza Filodrammatici,6,45.13567352,10.02445602,,,,,,,,,,,,
coll003,image/jpeg,image003.jpg,Corso Campi,28,45.1350708,10.02174759,,,,,,,,,,,,
coll004,image/jpeg,image004.jpg,Piazza Giovanni XXIII,4,45.13758469,10.02567196,,,,,,,,,,,,
coll005,image/jpeg,image005.jpg,Piazza Giovanni XXIII,8,45.13737488,10.02579403,,,,,,,,,,,,
coll006,image/jpeg,image006.jpg,Piazza Giovanni XXIII,7,45.1374321,10.02588844,,,,,,,,,,,,
coll007,image/jpeg,image007.jpg,Via Angelo Massarotti,53,45.13666534,10.01097775,,,,,,,,,,,,
coll008,image/jpeg,image008.jpg,Piazza Antonio Stradivari,4,45.1336441,10.02335548,,,,,,,,,,,,
coll009,image/jpeg,image009.jpg,Studio Tecnico Agrario Ferlenghi,,45.13370132,10.02439976,,,,,,,,,,,,
coll010,image/jpeg,image010.jpg,Studio Tecnico Agrario Ferlenghi,,45.13369751,10.02438927,,,,,,,,,,,,
coll011,image/jpeg,image011.jpg,Liuteria Shop - Rapaccioli Antonio,,45.13610458,10.02570152,,,,,,,,,,,,
coll012,image/jpeg,image012.jpg,Via del Cistello,5,45.13459778,10.02747822,,,,,,,,,,,,
coll013,image/jpeg,image013.jpg,Corso XX Settembre,54,45.1347847,10.02964783,,,,,,,,,,,,
coll014,image/jpeg,image014.jpg,Via Cesare Speciano,4,45.13485718,10.03039646,,,,,,,,,,,,
coll015,image/jpeg,image015.jpg,Gruppo Triboldi Basket,,45.1334877,10.0231123,,,,,,,,,,,,
coll016,image/jpeg,image016.jpg,Bancomat Banca Popolare Di Sondrio,,45.13344574,10.02335358,,,,,,,,,,,,
coll017,image/jpeg,image017.jpg,Via Bartolomeo Gadio,1,45.13933563,10.01564407,,,,,,,,,,,,
coll018,image/jpeg,image018.jpg,Via Gioconda,5,45.13908005,10.02535248,,,,,,,,,,,,
coll019,image/jpeg,image019.jpg,Via dei Gonfalonieri,17,45.13418579,10.02387428,,,,,,,,,,,,
coll020,image/jpeg,image020.jpg,Ex Chiesa di San Facio,detta del Foppone,45.13764954,10.02684498,,,,,,,,,,,,
